tradeoff,DiVE-dSwap-Adaptive(0.80),DiVE-dSwap-Adaptive(0.97),DiVE-dSwap-Adaptive(Hypothetical),,,,,,,,,,,,,
0,0,0,0,,,,,,,,,,,,,
0.1,0.10472444,0,0,,,,,,0.303135,,,,0.299960436,,,0.003174564
0.2,0.073918806,0,0,,,,,,0.297181,,,,0.294984274,,,0.002196726
0.3,0.060400405,0,0,,,,,,0.291226,,,,0.289466983,,,0.001759017
0.4,0.029109987,0,0,,,,,,0.285272,,,,0.284441574,,,0.000830426
0.5,0,0,0,,,,,,,,,,,,,
0.6,0,0,0,,,,,,,,,,,,,
0.7,0,0,0,,,,,,,,,,,,,
0.8,0,0,0,,,,,,,,,,,,,
0.9,0,0,0,,,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,0.303135,,0.003174564,,,,,
,,,,,,,,,0.297181,,0.002196726,,,,,
,,,,,,,,,0.291226,,0.001759017,,,,,
,,,,,,,,,0.285272,,0.000830426,,,,,
